Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
games/AVision/OSGDB - Entex Adventure Vision/Defender.bin,https://archive.org/download/osgdb/AVision/OSGDB%20-%20Entex%20Adventure%20Vision/Defender.bin,4096,24fa782ff3e76241c4862481802e5347,AVision,,Entex Adventure Vision
games/AVision/OSGDB - Entex Adventure Vision/Space Force.bin,https://archive.org/download/osgdb/AVision/OSGDB%20-%20Entex%20Adventure%20Vision/Space%20Force.bin,4096,a991ce001b95c2c3455a8b2b30a47f61,AVision,,Entex Adventure Vision
games/AVision/OSGDB - Entex Adventure Vision/Super Cobra.bin,https://archive.org/download/osgdb/AVision/OSGDB%20-%20Entex%20Adventure%20Vision/Super%20Cobra.bin,4096,42acae1f1005044cc912853bf729331c,AVision,,Entex Adventure Vision
games/AVision/OSGDB - Entex Adventure Vision/Table Tennis.bin,https://archive.org/download/osgdb/AVision/OSGDB%20-%20Entex%20Adventure%20Vision/Table%20Tennis.bin,4096,f4771642b29d8cda8a03eb77b064d01d,AVision,,Entex Adventure Vision
games/AVision/OSGDB - Entex Adventure Vision/Turtles.bin,https://archive.org/download/osgdb/AVision/OSGDB%20-%20Entex%20Adventure%20Vision/Turtles.bin,4096,3e7a1ce7b7d69fecd67792a375864759,AVision,,Entex Adventure Vision
games/Arcadia/OSGDB - Arcadia 2001/1 - Games/3D Attack.bin,https://archive.org/download/osgdb/Arcadia/OSGDB%20-%20Arcadia%202001/1%20-%20Games/3D%20Attack.bin,8192,341fc26add52d23acc2b29f6bab42134,Arcadia,,Arcadia 2001
games/Arcadia/OSGDB - Arcadia 2001/1 - Games/3D Bowling.bin,https://archive.org/download/osgdb/Arcadia/OSGDB%20-%20Arcadia%202001/1%20-%20Games/3D%20Bowling.bin,4096,88df3f6943cab668df299c3dcb0e20c9,Arcadia,,Arcadia 2001
games/Arcadia/OSGDB - Arcadia 2001/1 - Games/3D Soccer.bin,https://archive.org/download/osgdb/Arcadia/OSGDB%20-%20Arcadia%202001/1%20-%20Games/3D%20Soccer.bin,8192,45cdcf4d96add1d04167e370eb10e309,Arcadia,,Arcadia 2001
games/Arcadia/OSGDB - Arcadia 2001/1 - Games/Alien Invaders.bin,https://archive.org/download/osgdb/Arcadia/OSGDB%20-%20Arcadia%202001/1%20-%20Games/Alien%20Invaders.bin,4096,f73756c9c837e892857967ed45b7f6f0,Arcadia,,Arcadia 2001
games/Arcadia/OSGDB - Arcadia 2001/1 - Games/American Football {=2P}.bin,https://archive.org/download/osgdb/Arcadia/OSGDB%20-%20Arcadia%202001/1%20-%20Games/American%20Football%20%7B%3D2P%7D.bin,6144,2e2c4344430903bfc2bcb7fd1b44e290,Arcadia,,Arcadia 2001
